Escherichia coli
Bacillus subtilis
Staphylococcus aureus
Angelica sinensis
Ganoderma lucidum
Lactobacillus plantarum
Saccharomyces cerevisiae
Astragalus membranaceus
Salvia miltiorrhiza
Codonopsis pilosula
Rheum officinale
Schisandra chinensis
Scutellaria baicalensis
Helicobacter pylori
Pseudomonas aeruginosa
Coptis chinensis
Eucommia ulmoides
Mycobacterium tuberculosis
Bacillus licheniformis
Aspergillus niger
Gastrodia elata
Bacillus thuringiensis
Cordyceps militaris
Lactobacillus acidophilus
Houttuynia cordata
Angelica dahurica
Bletilla striata
Bacillus amyloliquefaciens
Candida albicans
Dendrobium officinale
Streptococcus pneumoniae
Dendrobium candidum
Oldenlandia diffusa
Hericium erinaceus
Lactobacillus rhamnosus
Astragalus mongholicus
Lophatherum gracile
Rhodiola rosea
Panax notoginseng
Paris polyphylla
Lactobacillus paracasei
Polygala tenuifolia
Stevia rebaudiana
Streptococcus thermophilus
Polygonum cuspidatum
Aloe vera
Arabidopsis thaliana
Rehmannia glutinosa
Lactobacillus casei
Bacillus cereus
Sophora flavescens
Pleurotus eryngii
Ginkgo biloba
Bifidobacterium longum
Centella asiatica
Neisseria meningitidis
Tribulus terrestris
Corynebacterium glutamicum
Klebsiella pneumoniae
Prunella vulgaris
Dendrobium nobile
Cornus officinalis
Bacillus coagulans
Bacillus megaterium
Camellia oleifera
Lactococcus lactis
Achyranthes bidentata
Lactobacillus reuteri
Zea mays
Fusarium oxysporum
Rosa roxburghii
Atractylodes macrocephala
Botrytis cinerea
Panax ginseng
Lycopodium clavatum
Siraitia grosvenorii
Agaricus bisporus
Cynomorium songaricum
Magnolia officinalis
Enterococcus faecalis
Haemophilus influenzae
Lycium barbarum
Lonicera japonica
Polygonatum odoratum
Gleditsia sinensis
Listeria monocytogenes
Flammulina velutipes
Gynostemma pentaphyllum
Polygonatum sibiricum
Lactobacillus fermentum
Hovenia dulcis
Plasmodium falciparum
Plasmodium falciparum
Bacillus pumilus
Curcuma longa
Lycium ruthenicum
Phellinus linteus
Oryza sativa
Hermetia illucens
Trichosanthes kirilowii
Trichoderma reesei
Glycyrrhiza uralensis
Clostridium butyricum
Moringa oleifera
Paeonia lactiflora
Tricholoma matsutake
Brassica napus
Pseudomonas putida
Gentiana macrophylla
Tripterygium wilfordii
Trichoderma harzianum
Enterococcus faecium
Pseudomonas fluorescens
Cyperus rotundus
Bifidobacterium bifidum
Perilla frutescens
Agrobacterium tumefaciens
Streptococcus mutans
Phyllanthus emblica
Phyllanthus emblica
Apocynum venetum
Yarrowia lipolytica
Bifidobacterium animalis
Chrysanthemum indicum
Pinellia ternata
Beauveria bassiana
Clostridium perfringens
Cistanche deserticola
Rhizoctonia solani
Carthamus tinctorius
Vibrio parahaemolyticus
Lycium chinense
Grifola frondosa
Gardenia jasminoides
Curcuma aromatica
Aspergillus flavus
Eclipta alba
Angelica gigas
Bifidobacterium breve
Glycyrrhiza glabra
Staphylococcus epidermidis
Pediococcus acidilactici
Bacillus velezensis
Litsea cubeba
Andrographis paniculata
Agaricus blazei
Hippophae rhamnoides
Sanguisorba officinalis
Cinnamomum camphora
Osmanthus fragrans
Camellia sinensis
Acinetobacter baumannii
Neisseria gonorrhoeae
Lactobacillus delbrueckii
Pyrrosia lingua
Prunus persica
Cyclocarya paliurus
Chlamydia trachomatis
Bacillus anthracis
Lactobacillus brevis
Zingiber officinale
Portulaca oleracea
Allium macrostemon
Saussurea involucrata
Silybum marianum
Taxus chinensis
Fritillaria cirrhosa
Fritillaria cirrhosa
Inonotus obliquus
Pogostemon cablin
Lygodium japonicum
Hypericum perforatum
Centipeda minima
Artemisia annua
Sclerotinia sclerotiorum
Phellodendron amurense
Lysimachia christinae
Toxoplasma gondii
Penaeus vannamei
Pediococcus pentosaceus
Undaria pinnatifida
Streptococcus pyogenes
Lactobacillus helveticus
Ophiopogon japonicus
Artemisia anomala
Porphyromonas gingivalis
Artemisia capillaris
Capsicum annuum
Polygonum aviculare
Streptococcus agalactiae
Ipomoea batatas
Cannabis sativa
Spodoptera frugiperda
Saururus chinensis
Tenebrio molitor
Leuconostoc mesenteroides
Paenibacillus polymyxa
Candida tropicalis
Zanthoxylum bungeanum
Pleurotus ostreatus
Mycoplasma pneumoniae
Eclipta prostrata
Eclipta prostrata
Plutella xylostella
Lactobacillus salivarius
Mycoplasma hyopneumoniae
Oroxylum indicum
Glycine max
Mycobacterium avium
Vibrio cholerae
Acorus gramineus
Lactobacillus gasseri
Helianthus annuus
Aspergillus fumigatus
Fritillaria thunbergii
Polyporus umbellatus
Hypericum japonicum
Serratia marcescens
Bordetella pertussis
Ligustrum lucidum
Caenorhabditis elegans
Coprinus comatus
Brassica oleracea
Streptococcus suis
Phellinus igniarius
Citrus aurantium
Crocus sativus
Adenophora stricta
Artemisia argyi
Syzygium aromaticum
Uncaria rhynchophylla
Euphausia superba
Angelica keiskei
Nicotiana tabacum
Cistanche salsa
Vitis vinifera
Rhodopseudomonas palustris
Atractylodes lancea
Acorus calamus
Calendula officinalis
Clostridium botulinum
Bombyx mori
Polygonatum kingianum
Phytophthora capsici
Cyrtomium fortunei
Aeromonas hydrophila
Echinacea purpurea
Campylobacter jejuni
Asparagus cochinchinensis
Bemisia tabaci
Kluyveromyces marxianus
Potentilla discolor
Moraxella catarrhalis
Sparassis crispa
Morus alba
Lactuca sativa
Suaeda salsa
Blumea balsamifera
Verbena officinalis
Momordica charantia
Cyperus esculentus
Rhizopus oryzae
Clematis chinensis
Geranium wilfordii
Cnidium officinale
Broussonetia papyrifera
Micropterus salmoides
Eriocheir sinensis
Xanthomonas campestris
Illicium verum
Cymbopogon citratus
Bifidobacterium adolescentis
Dianthus superbus
Punica granatum
Citrus reticulata
Macleaya cordata
Lentinula edodes
Fusarium solani
Myristica fragrans
Saposhnikovia divaricata
Sarcandra glabra
Rubus coreanus
Jatropha curcas
Pasteurella multocida
Lithospermum erythrorhizon
Paeonia suffruticosa
Mythimna separata
Acer truncatum
Agrimonia pilosa
Akkermansia muciniphila
Ilex latifolia
Abelmoschus manihot
Camellia nitidissima
Lawsonia intracellularis
Agastache rugosa
Tremella fuciformis
Forsythia suspensa
Aureobasidium pullulans
Anoectochilus formosanus
Erigeron breviscapus
Sedum sarmentosum
Artemisia apiacea
Morinda citrifolia
Morinda citrifolia
Metarhizium anisopliae
Triticum aestivum
Asarum sieboldii
Periplaneta americana
Ralstonia solanacearum
Selaginella tamariscina
Salvia chinensis
Flowering plant
Sargassum fusiforme
Drosophila melanogaster
Agrobacterium rhizogenes
Macrobrachium rosenbergii
Morchella esculenta
Foeniculum vulgare
Chenopodium quinoa
Lactobacillus crispatus
Citrus unshiu
Dendrobium huoshanense
Chlamydia pneumoniae
Enterobacter cloacae
Scaphium scaphigerum
Brucea javanica
Allium sativum
Proteus mirabilis
Pseudomonas syringae
Pleurotus nebrodensis
Humulus lupulus
Smilax glabra
Pseudomonas stutzeri
Anoectochilus roxburghii
Aquilaria sinensis
Celastrus angulatus
Agrocybe cylindracea
Aspergillus terreus
Beta vulgaris
Azotobacter chroococcum
Euphorbia kansui
Lactobacillus johnsonii
Cuscuta chinensis
Vibrio alginolyticus
Piper longum
Salicornia herbacea
Caragana microphylla
Solenopsis invicta
Ailanthus altissima
Dunaliella salina
Monascus purpureus
Aronia melanocarpa
Nelumbo nucifera
Plantago asiatica
Impatiens balsamina
Curculigo orchioides
Alternaria alternata
Solanum nigrum
Eucalyptus globulus
Streptomyces avermitilis
Cocos nucifera
Alcaligenes faecalis
Sargentodoxa cuneata
Anemarrhena asphodeloides
Trichomonas vaginalis
Stephania tetrandra
Hypsizygus marmoreus
Zymomonas mobilis
Treponema pallidum
Streptomyces hygroscopicus
Solanum lyratum
Stenotrophomonas maltophilia
Lactobacillus pentosus
Toona sinensis
Arctium lappa
Mortierella alpina
Solanum lycopersicum
Codonopsis lanceolata
Terminalia chebula
Ficus carica
